Água; O
Etanol; CCO
Metano;C
Alcool etílico;CCO
Ácido fórmico;C(=O)O
glicerol;C(C(CO)O)O;
glicerol;OCC(O)CO
cafeína;CN1C=NC2=C1C(=O)N(C(=O)N2C)C 
tiamina;CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
nitrobenzeno;COC1=C(C=C(C=C1)[N+](=O)[O-])C(=O)OC
ácido benzoico;C1=CC=C(C=C1)C(=O)O
Propano;C1=CC=C2C(=C1)C(=CN2)CCC(=O)O
Butano;CC1=C(C=CC(=C1)Cl)OCCCC(=O)O
Pentano;CCCCC(=O)O 
Heptano;CCCCCCC(=O)[O-]
Octano; CCCCCCCC
Decano;CCCCCCCCCC(=O)[O-]
Ácido acético;CC(=O)O.CC(=O)O.C1OC2=C(O1)C(=C(C=C2)P(C3=CC=CC=C3)C4=CC=CC=C4)C5=C(C=CC6=C5OCO6)P(C7=CC=CC=C7)C8=CC=CC=C8.[Ru] 
Ácido fórmico;C(=O)O
Ácido benzóico;C1=CC=C(C=C1)C(=O)O
Glicerol;C(C(CO)O)O
Acetona;CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C
Metanol;CO
Propanol;CCCO
Butanol; CCCCO
Pentanol;CCCCCO
Hexanol;CCCCCCO
Benzeno;CCCCCCN1C(=O)C2C(C1=O)C3C4=CC=CC=C4C2C5=CC=CC=C35
Tolueno;CC1=CC=CC=C1
Fenol;C1=CC=C(C=C1)O
Anilina;C1=CC=C(C=C1)N
Clorofórmio;C(Cl)(Cl)Cl 
Etileno;C=C
Propeno;C1=CC=C(C(=C1)/C=C/C(=O)O)[N+](=O)[O-]
Buteno;CC/C=C\CCOC(=O)/C=C/C
Isobuteno;CCOC(=O)C=C(C)C
Ácido sulfúrico;OS(=O)(=O)O
Ácido nítrico;[N+](=O)(O)[O-] 
Carbonato de cálcio;C(=O)([O-])[O-].[Ca+2]
Lactose;C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
Galactose;C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
Maltose;C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
Ácido linoleico;CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
Glicerina; C(C(CO)O)O
Estradiol; C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
Cortisol;C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O
Adrenalina;CNC[C@@H](C1=CC(=C(C=C1)O)O)O
Noradrenalina;C1=CC(=C(C=C1[C@H](CN)O)O)O
Dopamina;C1=CC(=C(C=C1CCN)O)O
